Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot25,"NastyInc",hard,18,Completed,"Storage","Storage: Objective #6","1","11:53:04","11:53:18",
Bot25,"NastyInc",hard,18,Completed,"Storage","Storage: Objective #1","1","11:53:23","11:57:05",
Bot25,"NastyInc",hard,18,Completed,"South Shack by Big Red","South Shack by Big Red: Objective #1","1","11:57:10","11:57:42",
Bot25,"NastyInc",hard,18,Completed,"Big Red","Big Red: Objective #1","1","11:57:47","11:58:57",
Bot25,"NastyInc",hard,18,Completed,"North Shack by Big Red","North Shack by Big Red: Objective #1","1","11:59:02","12:00:00",
Bot25,"NastyInc",hard,18,Completed,"Trailer Park Cabin","Trailer Park Cabin: Objective #1","1","12:00:05","12:00:49",
Bot25,"NastyInc",hard,18,Failed,"Crackhouse","Crackhouse: Objective #6","1","12:00:54","12:01:15",
Bot25,"NastyInc",hard,18,Failed,"Crackhouse","Crackhouse: Objective #7","1","12:01:20","12:01:22",
Bot25,"NastyInc",hard,18,Failed,"Crackhouse","Crackhouse: Objective #1","1","12:01:27","12:01:27",
Bot25,"NastyInc",hard,18,Failed,"Crackhouse","Crackhouse: Objective #5","1","12:01:32","12:01:32",
Bot25,"NastyInc",hard,18,Failed,"Crackhouse","Crackhouse: Objective #2","1","12:01:37","12:01:37",
Bot25,"NastyInc",hard,18,Failed,"Crackhouse","Crackhouse: Objective #3","1","12:01:42","12:01:42",
Bot25,"NastyInc",hard,18,Failed,"Crackhouse","Crackhouse: Objective #4","1","12:01:47","12:01:47",
Bot25,"NastyInc",hard,18,Failed,"RUAF Checkpoint","RUAF Checkpoint: Objective #1","1","12:01:52","12:01:52",
Bot36,"Эдуард Зевс (Nightingale)",normal,1,Failed,"South Shack by Big Red","South Shack by Big Red: Objective #1","1","11:55:49","11:56:10",
Bot38,"Ботир Гусь (Rena-chan)",normal,1,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #9","1","11:59:55","12:00:30",
Bot38,"Ботир Гусь (Rena-chan)",normal,1,Failed,"Dorms 2 Story","Dorms 2 Story: Objective #3","1","12:00:35","12:00:36",
Bot38,"Ботир Гусь (Rena-chan)",normal,1,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #2","1","12:00:41","12:01:12",
Bot38,"Ботир Гусь (Rena-chan)",normal,1,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #6","1","12:01:17","12:01:28",
Bot38,"Ботир Гусь (Rena-chan)",normal,1,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #1","1","12:01:33","12:01:40",
Bot38,"Ботир Гусь (Rena-chan)",normal,1,Failed,"Dorms 2 Story","Dorms 2 Story: Objective #4","1","12:01:45","12:02:06",
Bot38,"Ботир Гусь (Rena-chan)",normal,1,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #5","1","12:02:11","12:02:21",
Bot38,"Ботир Гусь (Rena-chan)",normal,1,Failed,"Dorms 2 Story","Dorms 2 Story: Objective #7","1","12:02:26","12:02:48",
Bot38,"Ботир Гусь (Rena-chan)",normal,1,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #10","1","12:02:53","12:03:24",
Bot38,"Ботир Гусь (Rena-chan)",normal,1,Completed,"Dorms Camp 2","Dorms Camp 2: Objective #1","1","12:03:29","12:04:21",
Bot38,"Ботир Гусь (Rena-chan)",normal,1,Completed,"Factory Shacks","Factory Shacks: Objective #1","1","12:04:26","12:05:49",
Bot38,"Ботир Гусь (Rena-chan)",normal,1,Failed,"Garage","Garage: Objective #3","1","12:05:54","12:06:36",
Bot38,"Ботир Гусь (Rena-chan)",normal,1,Completed,"Garage","Garage: Objective #2","1","12:06:41","12:06:53",
Bot38,"Ботир Гусь (Rena-chan)",normal,1,Completed,"Garage","Garage: Objective #1","1","12:06:58","12:07:15",
Bot38,"Ботир Гусь (Rena-chan)",normal,1,Completed,"Warehouse 17","Warehouse 17: Objective #1","1","12:07:20","12:07:38",
Bot38,"Ботир Гусь (Rena-chan)",normal,1,Completed,"Ice Cream","Ice Cream: Objective #1","1","12:07:43","12:08:43",
Bot38,"Ботир Гусь (Rena-chan)",normal,1,Active,"Crackhouse","Crackhouse: Objective #2","1","12:08:48","N/A",
Bot39,"Тихон Банщик (SlejmUr)",normal,1,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #9","1","12:00:58","12:03:23",
Bot39,"Тихон Банщик (SlejmUr)",normal,1,Failed,"Dorms 2 Story","Dorms 2 Story: Objective #3","1","12:03:28","12:03:29",
Bot39,"Тихон Банщик (SlejmUr)",normal,1,Failed,"Dorms 2 Story","Dorms 2 Story: Objective #4","1","12:03:34","12:03:51",
Bot39,"Тихон Банщик (SlejmUr)",normal,1,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #5","1","12:03:56","12:04:05",
Bot39,"Тихон Банщик (SlejmUr)",normal,1,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #1","1","12:04:10","12:04:31",
Bot39,"Тихон Банщик (SlejmUr)",normal,1,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #6","1","12:04:36","12:05:06",
Bot39,"Тихон Банщик (SlejmUr)",normal,1,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #10","1","12:05:12","12:05:28",
Bot39,"Тихон Банщик (SlejmUr)",normal,1,Failed,"Dorms 2 Story","Dorms 2 Story: Objective #8","1","12:05:33","12:05:34",
Bot39,"Тихон Банщик (SlejmUr)",normal,1,Failed,"Dorms 2 Story","Dorms 2 Story: Objective #7","1","12:05:39","12:06:02",
Bot39,"Тихон Банщик (SlejmUr)",normal,1,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #2","1","12:06:07","12:06:26",
Bot40,"Алик Дизайнер (Hubert)",normal,1,Completed,"Fortress","Fortress: Objective #3","1","12:01:06","12:01:28",
Bot40,"Алик Дизайнер (Hubert)",normal,1,Completed,"Fortress","Fortress: Objective #6","1","12:01:33","12:01:55",
Bot40,"Алик Дизайнер (Hubert)",normal,1,Completed,"Fortress","Fortress: Objective #9","4","12:02:00","12:03:32",
Bot40,"Алик Дизайнер (Hubert)",normal,1,Completed,"Fortress","Fortress: Objective #1","1","12:03:37","12:03:46",
Bot40,"Алик Дизайнер (Hubert)",normal,1,Completed,"Fortress","Fortress: Objective #8","3","12:03:51","12:04:36",
Bot40,"Алик Дизайнер (Hubert)",normal,1,Completed,"Fortress","Fortress: Objective #2","1","12:04:41","12:05:03",
Bot40,"Алик Дизайнер (Hubert)",normal,1,Completed,"Fortress","Fortress: Objective #4","1","12:05:08","12:05:20",
Bot40,"Алик Дизайнер (Hubert)",normal,1,Completed,"Fortress","Fortress: Objective #7","1","12:05:25","12:05:48",
Bot40,"Алик Дизайнер (Hubert)",normal,1,Completed,"Fortress","Fortress: Objective #5","1","12:05:53","12:06:17",
Bot40,"Алик Дизайнер (Hubert)",normal,1,Completed,"Factory Shacks","Factory Shacks: Objective #1","1","12:06:22","12:07:13",
