Quest Name,Objective,Steps,Min Level,Max Level,First Step Position
Spawn Point Wander,"Spawn Point (44.2 23.3 -104.9)",1,0,99,"(44.2, 23.3, -104.9)"
Spawn Point Wander,"Spawn Point (72.7 14.1 30.0)",1,0,99,"(72.7, 14.1, 30.0)"
Spawn Point Wander,"Spawn Point (-10.5 24.0 19.7)",1,0,99,"(-10.5, 24.0, 19.7)"
Spawn Point Wander,"Spawn Point (72.5 14.2 113.6)",1,0,99,"(72.5, 14.2, 113.6)"
Spawn Point Wander,"Spawn Point (74.2 14.2 8.9)",1,0,99,"(74.2, 14.2, 8.9)"
Spawn Point Wander,"Spawn Point (96.3 22.9 -85.2)",1,0,99,"(96.3, 22.9, -85.2)"
Spawn Point Wander,"Spawn Point (67.8 14.0 166.2)",1,0,99,"(67.8, 14.0, 166.2)"
Spawn Point Wander,"Spawn Point (103.8 28.1 316.1)",1,0,99,"(103.8, 28.1, 316.1)"
Spawn Point Wander,"Spawn Point (109.4 22.7 239.4)",1,0,99,"(109.4, 22.7, 239.4)"
Spawn Point Wander,"Spawn Point (58.4 23.4 229.1)",1,0,99,"(58.4, 23.4, 229.1)"
Spawn Point Wander,"Spawn Point (42.0 23.3 -104.5)",1,0,99,"(42.0, 23.3, -104.5)"
Spawn Point Wander,"Spawn Point (98.9 22.9 -85.0)",1,0,99,"(98.9, 22.9, -85.0)"
Spawn Point Wander,"Spawn Point (180.2 16.2 128.2)",1,0,99,"(180.2, 16.2, 128.2)"
Spawn Point Wander,"Spawn Point (45.6 23.3 -99.8)",1,0,99,"(45.6, 23.3, -99.8)"
Spawn Point Wander,"Spawn Point (38.7 23.5 147.2)",1,0,99,"(38.7, 23.5, 147.2)"
Spawn Point Wander,"Spawn Point (127.2 23.2 192.6)",1,0,99,"(127.2, 23.2, 192.6)"
Spawn Point Wander,"Spawn Point (18.5 24.2 73.8)",1,0,99,"(18.5, 24.2, 73.8)"
Spawn Point Wander,"Spawn Point (181.0 16.2 130.1)",1,0,99,"(181.0, 16.2, 130.1)"
Spawn Point Wander,"Spawn Point (22.9 23.5 253.5)",1,0,99,"(22.9, 23.5, 253.5)"
Spawn Point Wander,"Spawn Point (101.6 28.1 314.8)",1,0,99,"(101.6, 28.1, 314.8)"
Spawn Point Wander,"Spawn Point (147.6 23.3 250.1)",1,0,99,"(147.6, 23.3, 250.1)"
Spawn Point Wander,"Spawn Point (72.2 14.0 159.4)",1,0,99,"(72.2, 14.0, 159.4)"
Spawn Point Wander,"Spawn Point (176.8 17.0 -6.3)",1,0,99,"(176.8, 17.0, -6.3)"
Spawn Point Wander,"Spawn Point (177.6 17.0 -4.1)",1,0,99,"(177.6, 17.0, -4.1)"
Spawn Point Wander,"Spawn Point (-11.0 23.9 -5.8)",1,0,99,"(-11.0, 23.9, -5.8)"
Spawn Point Wander,"Spawn Point (104.5 33.4 107.5)",1,0,99,"(104.5, 33.4, 107.5)"
Spawn Point Wander,"Spawn Point (101.8 28.1 317.1)",1,0,99,"(101.8, 28.1, 317.1)"
Spawn Point Wander,"Spawn Point (119.7 22.8 -4.3)",1,0,99,"(119.7, 22.8, -4.3)"
Spawn Point Wander,"Spawn Point (175.1 17.0 2.2)",1,0,99,"(175.1, 17.0, 2.2)"
Spawn Point Wander,"Spawn Point (136.6 22.7 -66.9)",1,0,99,"(136.6, 22.7, -66.9)"
Spawn Point Wander,"Spawn Point (47.1 23.3 -103.1)",1,0,99,"(47.1, 23.3, -103.1)"
Spawn Point Wander,"Spawn Point (130.5 23.5 271.6)",1,0,99,"(130.5, 23.5, 271.6)"
Spawn Point Wander,"Spawn Point (57.5 23.4 229.6)",1,0,99,"(57.5, 23.4, 229.6)"
Spawn Point Wander,"Spawn Point (60.9 14.2 105.2)",1,0,99,"(60.9, 14.2, 105.2)"
Spawn Point Wander,"Spawn Point (122.4 22.8 -4.2)",1,0,99,"(122.4, 22.8, -4.2)"
Spawn Point Wander,"Spawn Point (180.8 16.2 119.3)",1,0,99,"(180.8, 16.2, 119.3)"
Spawn Point Wander,"Spawn Point (130.6 14.1 63.1)",1,0,99,"(130.6, 14.1, 63.1)"
Spawn Point Wander,"Spawn Point (110.8 23.2 176.0)",1,0,99,"(110.8, 23.2, 176.0)"
Spawn Point Wander,"Spawn Point (64.9 14.2 105.9)",1,0,99,"(64.9, 14.2, 105.9)"
Spawn Point Wander,"Spawn Point (180.9 16.2 121.4)",1,0,99,"(180.9, 16.2, 121.4)"
Spawn Point Wander,"Spawn Point (4.4 23.9 -59.7)",1,0,99,"(4.4, 23.9, -59.7)"
Spawn Point Wander,"Spawn Point (-13.1 23.9 98.9)",1,0,99,"(-13.1, 23.9, 98.9)"
Spawn Point Wander,"Spawn Point (-2.8 23.9 -59.6)",1,0,99,"(-2.8, 23.9, -59.6)"
Spawn Point Wander,"Spawn Point (44.4 23.3 -104.9)",1,0,99,"(44.4, 23.3, -104.9)"
Spawn Point Wander,"Spawn Point (74.5 14.2 10.6)",1,0,99,"(74.5, 14.2, 10.6)"
Spawn Point Wander,"Spawn Point (-12.6 23.8 -60.0)",1,0,99,"(-12.6, 23.8, -60.0)"
Spawn Point Wander,"Spawn Point (67.0 14.2 107.3)",1,0,99,"(67.0, 14.2, 107.3)"
Spawn Point Wander,"Spawn Point (127.5 23.2 194.1)",1,0,99,"(127.5, 23.2, 194.1)"
Spawn Point Wander,"Spawn Point (72.0 14.1 20.2)",1,0,99,"(72.0, 14.1, 20.2)"
Spawn Point Wander,"Spawn Point (-14.6 23.8 -58.8)",1,0,99,"(-14.6, 23.8, -58.8)"
Spawn Point Wander,"Spawn Point (164.7 22.8 -85.9)",1,0,99,"(164.7, 22.8, -85.9)"
Spawn Point Wander,"Spawn Point (39.9 23.4 150.6)",1,0,99,"(39.9, 23.4, 150.6)"
Spawn Point Wander,"Spawn Point (22.6 23.5 258.0)",1,0,99,"(22.6, 23.5, 258.0)"
Spawn Rush,"Spawn Rush: Objective #1",1,0,99,"(151.5, 22.7, 243.4)"
Emercom Checkpoint,"Emercom Checkpoint: Objective #1",1,0,99,"(153.5, 23.2, -97.6)"
Emercom Checkpoint,"Emercom Checkpoint: Objective #2",2,0,99,"(152.4, 22.7, -80.1)"
Mira Avenue Benches,"Mira Avenue Benches: Objective #1",1,0,99,"(198.5, 16.3, -47.6)"
Mira Avenue Benches,"Mira Avenue Benches: Objective #2",1,0,99,"(199.6, 16.3, -14.4)"
Mira Avenue Extract Camping,"Mira Avenue Extract Camping: Objective #1",2,0,99,"(184.9, 20.5, -49.6)"
Skyside Hotel,"Skyside Hotel: Objective #1",1,0,99,"(172.3, 16.9, 4.3)"
Skyside Hotel,"Skyside Hotel: Objective #2",1,0,99,"(177.9, 16.9, 33.5)"
Skyside Hotel,"Skyside Hotel: Objective #3",1,0,99,"(158.3, 16.9, 10.1)"
Skyside Hotel,"Skyside Hotel: Objective #4",1,0,99,"(135.4, 17.0, -12.8)"
Skyside Hotel,"Skyside Hotel: Objective #5",1,0,99,"(115.1, 22.8, -4.5)"
Skyside Hotel Outside,"Skyside Hotel Outside: Objective #1",1,0,99,"(179.9, 21.9, 48.9)"
Skyside Hotel Outside,"Skyside Hotel Outside: Objective #2",1,0,99,"(153.9, 22.8, 34.4)"
Skyside Hotel Outside,"Skyside Hotel Outside: Objective #3",1,0,99,"(134.8, 22.8, 47.3)"
Tartowers,"Tartowers: Objective #1",1,0,99,"(190.4, 16.2, 133.3)"
Tartowers,"Tartowers: Objective #2",1,0,99,"(197.6, 16.2, 136.3)"
Tartowers,"Tartowers: Objective #3",1,0,99,"(200.5, 16.2, 124.9)"
Tartowers,"Tartowers: Objective #4",1,0,99,"(185.4, 16.2, 132.1)"
Stairs Near Tartowers,"Stairs Near Tartowers: Objective #1",2,0,99,"(185.5, 21.5, 95.5)"
Stairs Near Tartowers,"Stairs Near Tartowers: Objective #2",2,0,99,"(175.4, 24.4, 113.5)"
Stairs Near Tartowers,"Stairs Near Tartowers: Objective #3",1,0,99,"(175.5, 24.4, 85.7)"
Oasis,"Oasis: Objective #1",1,0,99,"(124.6, 24.4, 100.2)"
Oasis,"Oasis: Objective #2",1,0,99,"(120.0, 24.4, 108.4)"
Oasis Sniping,"Oasis Sniping: Objective #1",2,0,99,"(124.4, 28.9, 88.8)"
Oasis Sniping,"Oasis Sniping: Objective #2",2,0,99,"(101.7, 28.9, 109.2)"
Oasis Sniping,"Oasis Sniping: Objective #3",2,0,99,"(102.6, 28.9, 113.7)"
Olive Restaurant,"Olive Restaurant: Objective #1",1,0,99,"(120.1, 24.4, 128.7)"
Olive Restaurant,"Olive Restaurant: Objective #2",2,0,99,"(118.8, 24.4, 139.6)"
Olive Restaurant,"Olive Restaurant: Objective #3",1,0,99,"(107.9, 24.7, 154.4)"
Olive Restaurant,"Olive Restaurant: Objective #4",1,0,99,"(121.4, 24.5, 148.9)"
Olive Restaurant,"Olive Restaurant: Objective #5",1,0,99,"(110.0, 29.1, 161.2)"
Olive Restaurant,"Olive Restaurant: Objective #6",1,0,99,"(110.3, 27.7, 174.8)"
Olive Restaurant Sniping,"Olive Restaurant Sniping: Objective #1",2,0,99,"(101.4, 28.9, 141.7)"
Kyshperski,"Kyshperski: Objective #1",1,0,99,"(129.1, 23.2, 191.8)"
Kyshperski,"Kyshperski: Objective #2",1,0,99,"(128.6, 23.2, 183.9)"
Kyshperski,"Kyshperski: Objective #3",1,0,99,"(119.8, 23.2, 183.5)"
Kyshperski,"Kyshperski: Objective #4",2,0,99,"(119.0, 23.2, 191.8)"
M Showroom,"M Showroom: Objective #1",1,0,99,"(96.0, 22.8, 225.0)"
M Showroom Sniping,"M Showroom Sniping: Objective #1",2,0,99,"(94.3, 27.4, 217.9)"
M Showroom Sniping,"M Showroom Sniping: Objective #2",2,0,99,"(93.2, 27.3, 222.7)"
Capital Insight,"Capital Insight: Objective #1",1,0,99,"(113.6, 23.4, 280.4)"
Capital Insight,"Capital Insight: Objective #2",1,0,99,"(122.2, 23.4, 294.8)"
Capital Insight,"Capital Insight: Objective #3",1,0,99,"(117.9, 28.2, 290.4)"
Capital Insight,"Capital Insight: Objective #4",4,0,99,"(111.5, 32.8, 269.0)"
Capital Insight,"Capital Insight: Objective #5",5,0,99,"(105.9, 32.8, 280.9)"
Capital Insight Sniping,"Capital Insight Sniping: Objective #1",2,0,99,"(98.8, 33.1, 278.3)"
Capital Insight Sniping,"Capital Insight Sniping: Objective #2",2,0,99,"(105.3, 32.9, 263.4)"
Safe outside of Giovanni Teducci,"Safe outside of Giovanni Teducci: Objective #1",1,0,99,"(71.4, 22.7, 311.6)"
Nakatani Tower,"Nakatani Tower: Objective #1",1,0,99,"(5.0, 22.8, 332.7)"
Nakatani Tower Camping,"Nakatani Tower Camping: Objective #1",2,0,99,"(-9.1, 22.7, 326.0)"
Tarbank,"Tarbank: Objective #1",1,0,99,"(55.5, 23.4, 148.3)"
Tarbank,"Tarbank: Objective #2",1,0,99,"(54.8, 23.4, 141.8)"
Tarbank,"Tarbank: Objective #3",1,0,99,"(10.2, 23.4, 159.5)"
Tarbank,"Tarbank: Objective #4",1,0,99,"(48.4, 23.5, 156.1)"
Tarbank,"Tarbank: Objective #5",1,0,99,"(57.9, 23.4, 171.3)"
Tarbank,"Tarbank: Objective #6",1,0,99,"(55.7, 23.4, 155.5)"
Tarbank Upstairs,"Tarbank Upstairs: Objective #1",1,0,99,"(38.2, 30.9, 138.3)"
Tarbank Upstairs,"Tarbank Upstairs: Objective #2",1,0,99,"(48.3, 30.9, 158.2)"
Tarbank Upstairs,"Tarbank Upstairs: Objective #3",3,0,99,"(50.8, 30.9, 136.0)"
Tarbank Upstairs,"Tarbank Upstairs: Objective #4",3,0,99,"(58.5, 31.0, 149.4)"
Tarbank Upstairs Sniping,"Tarbank Upstairs Sniping: Objective #1",2,0,99,"(57.0, 31.0, 129.0)"
Tarbank Upstairs Sniping,"Tarbank Upstairs Sniping: Objective #2",2,0,99,"(62.2, 30.9, 141.6)"
Supplies Near VEX,"Supplies Near VEX: Objective #1",1,0,99,"(-20.3, 23.8, 93.4)"
VEX Camping,"VEX Camping: Objective #1",2,0,99,"(-6.5, 23.4, 132.9)"
TerraGroup Lawn,"TerraGroup Lawn: Objective #1",1,0,99,"(16.9, 24.2, 72.3)"
TerraGroup Lawn,"TerraGroup Lawn: Objective #2",1,0,99,"(42.4, 23.9, -4.7)"
TerraGroup Lawn,"TerraGroup Lawn: Objective #3",1,0,99,"(34.8, 24.0, 36.6)"
TerraGroup Garage,"TerraGroup Garage: Objective #1",1,0,99,"(-14.9, 23.9, -39.8)"
TerraGroup Garage,"TerraGroup Garage: Objective #2",3,0,99,"(-15.0, 23.9, -27.8)"
TerraGroup Office,"TerraGroup Office: Objective #1",1,0,99,"(-10.2, 24.2, 31.5)"
TerraGroup Office,"TerraGroup Office: Objective #2",1,0,99,"(-32.1, 24.2, 26.1)"
TerraGroup Office,"TerraGroup Office: Objective #3",1,0,99,"(-41.8, 24.3, 23.2)"
TerraGroup Office,"TerraGroup Office: Objective #4",1,0,99,"(-51.3, 24.2, 43.7)"
TerraGroup Office,"TerraGroup Office: Objective #5",1,0,99,"(-59.5, 24.2, 28.4)"
TerraGroup Office,"TerraGroup Office: Objective #6",1,0,99,"(-27.2, 24.2, 56.9)"
TerraGroup Office Upstairs,"TerraGroup Office Upstairs: Objective #1",1,0,99,"(-44.1, 29.7, 59.1)"
TerraGroup Office Upstairs,"TerraGroup Office Upstairs: Objective #2",1,0,99,"(-26.8, 29.7, 55.4)"
TerraGroup Office Upstairs,"TerraGroup Office Upstairs: Objective #3",1,0,99,"(-12.3, 29.7, 65.2)"
TerraGroup Office Upstairs,"TerraGroup Office Upstairs: Objective #4",1,0,99,"(-20.8, 29.7, 75.0)"
TerraGroup Office Upstairs,"TerraGroup Office Upstairs: Objective #5",1,0,99,"(-23.3, 29.7, 84.5)"
TerraGroup Office Upstairs,"TerraGroup Office Upstairs: Objective #6",1,0,99,"(-11.4, 29.7, 56.4)"
TerraGroup Office Upstairs,"TerraGroup Office Upstairs: Objective #7",1,0,99,"(-17.8, 29.7, 53.5)"
TerraGroup Office Upstairs,"TerraGroup Office Upstairs: Objective #8",1,0,99,"(-17.5, 29.7, 46.1)"
TerraGroup Office Upstairs,"TerraGroup Office Upstairs: Objective #9",1,0,99,"(-14.1, 29.7, 41.3)"
TerraGroup Office Upstairs Sniping,"TerraGroup Office Upstairs Sniping: Objective #1",2,0,99,"(-4.1, 29.7, 65.0)"
TerraGroup Office Upstairs Sniping,"TerraGroup Office Upstairs Sniping: Objective #2",2,0,99,"(-20.3, 29.7, 90.4)"
TerraGroup Office Quest Room Camping,"TerraGroup Office Quest Room Camping: Objective #1",2,0,99,"(-10.9, 29.7, 47.5)"
TerraGroup Office Camping,"TerraGroup Office Camping: Objective #1",2,0,99,"(-25.4, 24.2, 48.9)"
